received,global time,len of queue,logical clock time
"RECEIVED FROM ('127.0.0.1', 62846)",1678159858.547643,1,0
"RECEIVED FROM ('127.0.0.1', 62846)",1678159860.564267,1,2
"RECEIVED FROM ('127.0.0.1', 62846)",1678159862.559881,2,2
"RECEIVED FROM ('127.0.0.1', 62846)",1678159870.546546,1,6
"RECEIVED FROM ('127.0.0.1', 62846)",1678159876.56225,1,10
"RECEIVED FROM ('127.0.0.1', 62846)",1678159878.5502431,2,10
"RECEIVED FROM ('127.0.0.1', 62846)",1678159880.563025,2,14
"RECEIVED FROM ('127.0.0.1', 62846)",1678159882.586122,3,14
"RECEIVED FROM ('127.0.0.1', 62846)",1678159886.5600588,3,16
"RECEIVED FROM ('127.0.0.1', 62846)",1678159888.5615659,4,16
"RECEIVED FROM ('127.0.0.1', 62846)",1678159890.583873,4,18
"RECEIVED FROM ('127.0.0.1', 62846)",1678159892.5641642,5,18
"RECEIVED FROM ('127.0.0.1', 62846)",1678159894.5814369,5,20
"RECEIVED FROM ('127.0.0.1', 62846)",1678159896.571234,6,20
"RECEIVED FROM ('127.0.0.1', 62846)",1678159898.560427,7,20
"RECEIVED FROM ('127.0.0.1', 62846)",1678159900.591321,7,22
"RECEIVED FROM ('127.0.0.1', 62846)",1678159904.5839639,7,24
"RECEIVED FROM ('127.0.0.1', 62846)",1678159914.569119,6,27
"RECEIVED FROM ('127.0.0.1', 62846)",1678159920.6001291,6,28
"RECEIVED FROM ('127.0.0.1', 62846)",1678159922.5733361,7,28
"RECEIVED FROM ('127.0.0.1', 62846)",1678159926.5800488,7,30
"RECEIVED FROM ('127.0.0.1', 62846)",1678159928.581492,8,30
"RECEIVED FROM ('127.0.0.1', 62846)",1678159930.5765572,8,32
"RECEIVED FROM ('127.0.0.1', 62846)",1678159932.586538,9,32
"RECEIVED FROM ('127.0.0.1', 62846)",1678159938.597534,9,34
"RECEIVED FROM ('127.0.0.1', 62846)",1678159940.5984828,9,37
