received,global time,len of queue,logical clock time
SEND TO C,1678159856.533674,0,0
SEND TO A,1678159858.535025,0,1
SEND TO C,1678159858.53533,0,2
SEND TO A,1678159860.535655,0,3
SEND TO C,1678159860.5358021,0,4
SEND TO A,1678159862.53665,0,5
SEND TO C,1678159864.537715,0,6
INTERNAL EVENT,1678159866.538629,0,7
INTERNAL EVENT,1678159868.539701,0,8
SEND TO A,1678159870.540653,0,9
SEND TO C,1678159870.540798,0,10
INTERNAL EVENT,1678159872.541606,0,11
INTERNAL EVENT,1678159874.542645,0,12
SEND TO A,1678159876.543658,0,13
SEND TO C,1678159876.543827,0,14
SEND TO A,1678159878.5447512,0,15
SEND TO C,1678159878.544951,0,16
SEND TO A,1678159880.545707,0,17
SEND TO C,1678159880.545877,0,18
SEND TO A,1678159882.5466769,0,19
INTERNAL EVENT,1678159884.5477,0,20
SEND TO A,1678159886.548855,0,21
SEND TO C,1678159886.549064,0,22
SEND TO A,1678159888.5497322,0,23
SEND TO A,1678159890.5507042,0,24
SEND TO C,1678159890.550892,0,25
SEND TO A,1678159892.551799,0,26
SEND TO A,1678159894.552775,0,27
SEND TO C,1678159894.552953,0,28
SEND TO A,1678159896.5536609,0,29
SEND TO C,1678159896.553817,0,30
SEND TO A,1678159898.554703,0,31
SEND TO C,1678159898.554998,0,32
SEND TO A,1678159900.5556328,0,33
SEND TO C,1678159900.5557802,0,34
SEND TO C,1678159902.556631,0,35
SEND TO A,1678159904.557686,0,36
SEND TO C,1678159904.557914,0,37
SEND TO C,1678159906.5586681,0,38
INTERNAL EVENT,1678159908.5597079,0,39
INTERNAL EVENT,1678159910.5606139,0,40
INTERNAL EVENT,1678159912.561653,0,41
SEND TO A,1678159914.563749,0,42
SEND TO C,1678159914.56427,0,43
SEND TO C,1678159916.563725,0,44
SEND TO C,1678159918.564663,0,45
SEND TO A,1678159920.56569,0,46
SEND TO C,1678159920.5658681,0,47
SEND TO A,1678159922.5668259,0,48
SEND TO C,1678159922.567036,0,49
INTERNAL EVENT,1678159924.567737,0,50
SEND TO A,1678159926.568737,0,51
SEND TO C,1678159926.568933,0,52
SEND TO A,1678159928.5696719,0,53
SEND TO A,1678159930.570694,0,54
SEND TO A,1678159932.5716538,0,55
SEND TO C,1678159932.5718122,0,56
SEND TO C,1678159934.573408,0,57
INTERNAL EVENT,1678159936.573626,0,58
SEND TO A,1678159938.574683,0,59
SEND TO A,1678159940.5757,0,60
SEND TO C,1678159940.575868,0,61
