received,global time,len of queue,logical clock time
"RECEIVED FROM ('127.0.0.1', 62849)",1678159856.545353,1,0
"RECEIVED FROM ('127.0.0.1', 62849)",1678159858.547528,2,0
"RECEIVED FROM ('127.0.0.1', 62849)",1678159860.553298,3,0
"RECEIVED FROM ('127.0.0.1', 62849)",1678159864.5663319,3,1
"RECEIVED FROM ('127.0.0.1', 62849)",1678159870.558361,4,1
"RECEIVED FROM ('127.0.0.1', 62849)",1678159876.5614982,4,3
"RECEIVED FROM ('127.0.0.1', 62849)",1678159878.569917,5,3
"RECEIVED FROM ('127.0.0.1', 62849)",1678159880.5525749,6,3
"RECEIVED FROM ('127.0.0.1', 62849)",1678159886.554602,6,5
"RECEIVED FROM ('127.0.0.1', 62849)",1678159890.562644,7,5
"RECEIVED FROM ('127.0.0.1', 62849)",1678159894.563972,7,7
"RECEIVED FROM ('127.0.0.1', 62849)",1678159896.5597079,8,7
"RECEIVED FROM ('127.0.0.1', 62849)",1678159898.567667,9,7
"RECEIVED FROM ('127.0.0.1', 62849)",1678159900.573835,10,7
"RECEIVED FROM ('127.0.0.1', 62849)",1678159902.594962,11,7
"RECEIVED FROM ('127.0.0.1', 62849)",1678159904.5632079,11,11
"RECEIVED FROM ('127.0.0.1', 62849)",1678159906.564333,12,11
"RECEIVED FROM ('127.0.0.1', 62849)",1678159914.5710049,12,15
"RECEIVED FROM ('127.0.0.1', 62849)",1678159916.581793,13,15
"RECEIVED FROM ('127.0.0.1', 62849)",1678159918.570407,14,15
"RECEIVED FROM ('127.0.0.1', 62849)",1678159920.583198,15,15
"RECEIVED FROM ('127.0.0.1', 62849)",1678159922.5733461,16,15
"RECEIVED FROM ('127.0.0.1', 62849)",1678159926.574423,16,17
"RECEIVED FROM ('127.0.0.1', 62849)",1678159932.58673,17,17
"RECEIVED FROM ('127.0.0.1', 62849)",1678159934.5951202,17,19
"RECEIVED FROM ('127.0.0.1', 62849)",1678159940.598467,18,19
