received,global time,len of queue,logical clock time
SEND TO B,1678252349.970413,0,0
POP FROM QUEUE,1678252350.9708202,2,3
POP FROM QUEUE,1678252351.9718258,7,5
POP FROM QUEUE,1678252352.972841,9,6
POP FROM QUEUE,1678252353.974271,11,8
POP FROM QUEUE,1678252354.97491,11,9
POP FROM QUEUE,1678252355.976994,15,10
POP FROM QUEUE,1678252356.97689,19,11
POP FROM QUEUE,1678252357.978135,22,13
POP FROM QUEUE,1678252358.979011,25,14
POP FROM QUEUE,1678252359.979796,26,17
POP FROM QUEUE,1678252360.980881,27,18
POP FROM QUEUE,1678252361.981787,29,21
POP FROM QUEUE,1678252362.9828422,31,22
POP FROM QUEUE,1678252363.9843578,30,23
POP FROM QUEUE,1678252364.984871,33,24
POP FROM QUEUE,1678252365.985821,35,30
POP FROM QUEUE,1678252366.98768,35,36
POP FROM QUEUE,1678252367.990316,36,37
POP FROM QUEUE,1678252368.988922,35,38
POP FROM QUEUE,1678252369.994207,36,40
POP FROM QUEUE,1678252370.994547,37,42
POP FROM QUEUE,1678252371.992976,40,44
POP FROM QUEUE,1678252372.994077,43,46
POP FROM QUEUE,1678252373.996341,46,47
POP FROM QUEUE,1678252374.9957461,48,48
POP FROM QUEUE,1678252375.996767,50,50
POP FROM QUEUE,1678252377.000812,50,53
POP FROM QUEUE,1678252378.001179,53,56
POP FROM QUEUE,1678252379.033212,57,57
POP FROM QUEUE,1678252380.030829,58,59
POP FROM QUEUE,1678252381.031936,59,63
POP FROM QUEUE,1678252382.033045,60,64
POP FROM QUEUE,1678252383.033976,63,66
POP FROM QUEUE,1678252384.034854,65,67
POP FROM QUEUE,1678252385.0363772,67,69
POP FROM QUEUE,1678252386.0408168,70,74
POP FROM QUEUE,1678252387.043524,71,78
POP FROM QUEUE,1678252388.0427341,72,80
POP FROM QUEUE,1678252389.0466921,72,83
POP FROM QUEUE,1678252390.044877,74,85
POP FROM QUEUE,1678252391.0515609,74,86
POP FROM QUEUE,1678252392.0535722,74,90
POP FROM QUEUE,1678252393.052108,75,92
POP FROM QUEUE,1678252394.05274,78,95
POP FROM QUEUE,1678252395.054184,79,103
POP FROM QUEUE,1678252396.055027,82,106
POP FROM QUEUE,1678252397.055701,84,109
POP FROM QUEUE,1678252398.0567749,85,110
POP FROM QUEUE,1678252399.057688,89,112
POP FROM QUEUE,1678252400.058686,91,113
POP FROM QUEUE,1678252401.060081,94,118
POP FROM QUEUE,1678252402.0606642,95,120
POP FROM QUEUE,1678252403.061876,95,128
POP FROM QUEUE,1678252404.062759,98,131
POP FROM QUEUE,1678252405.063615,98,139
POP FROM QUEUE,1678252406.0647092,101,145
POP FROM QUEUE,1678252407.0656571,103,147
POP FROM QUEUE,1678252408.0666208,103,149
POP FROM QUEUE,1678252409.0676239,104,154
