received,global time,len of queue,logical clock time
INTERNAL EVENT,1678252349.96985,0,0
POP FROM QUEUE,1678252350.1366248,0,2
SEND TO A,1678252350.303678,0,2
SEND TO B,1678252350.3039098,0,3
SEND TO A,1678252350.470711,0,4
SEND TO A,1678252350.637839,0,5
INTERNAL EVENT,1678252350.8047318,0,6
SEND TO A,1678252350.972023,0,7
SEND TO A,1678252351.138835,0,8
SEND TO B,1678252351.14127,0,9
SEND TO A,1678252351.305739,0,10
INTERNAL EVENT,1678252351.472803,0,11
SEND TO A,1678252351.639748,0,12
POP FROM QUEUE,1678252351.806707,0,14
INTERNAL EVENT,1678252351.9736362,0,14
SEND TO B,1678252352.140726,0,15
SEND TO A,1678252352.307979,0,16
SEND TO A,1678252352.494355,0,17
SEND TO B,1678252352.495865,0,18
INTERNAL EVENT,1678252352.656815,0,19
SEND TO A,1678252352.824513,0,20
SEND TO A,1678252352.9907808,0,21
INTERNAL EVENT,1678252353.157779,0,22
INTERNAL EVENT,1678252353.324683,0,23
INTERNAL EVENT,1678252353.51169,0,24
POP FROM QUEUE,1678252353.671659,0,26
SEND TO B,1678252353.837773,0,26
INTERNAL EVENT,1678252354.004698,0,27
SEND TO B,1678252354.172086,0,28
SEND TO A,1678252354.339041,0,29
SEND TO B,1678252354.339939,0,30
INTERNAL EVENT,1678252354.506007,0,31
INTERNAL EVENT,1678252354.673532,0,32
SEND TO B,1678252354.839829,0,33
INTERNAL EVENT,1678252355.006667,0,34
SEND TO A,1678252355.174654,0,35
SEND TO B,1678252355.340713,0,36
SEND TO A,1678252355.5080278,0,37
SEND TO B,1678252355.508458,0,38
SEND TO A,1678252355.674981,0,39
SEND TO B,1678252355.675318,0,40
SEND TO A,1678252355.847297,0,41
SEND TO B,1678252355.847903,0,42
SEND TO A,1678252356.0331001,0,43
SEND TO B,1678252356.039443,0,44
SEND TO A,1678252356.196589,0,45
SEND TO A,1678252356.3892639,0,46
SEND TO A,1678252356.540021,0,47
SEND TO B,1678252356.5508978,0,48
SEND TO A,1678252356.7047942,0,49
SEND TO B,1678252356.706249,0,50
INTERNAL EVENT,1678252356.8708029,0,51
SEND TO A,1678252357.037768,0,52
SEND TO B,1678252357.038055,0,53
SEND TO B,1678252357.2062678,0,54
SEND TO A,1678252357.413028,0,55
SEND TO A,1678252357.629374,0,56
SEND TO B,1678252357.630204,0,57
SEND TO A,1678252357.762802,0,58
SEND TO B,1678252357.7640572,0,59
INTERNAL EVENT,1678252357.928802,0,60
SEND TO B,1678252358.096549,0,61
SEND TO A,1678252358.2708979,0,62
SEND TO A,1678252358.436825,0,63
SEND TO B,1678252358.4373162,0,64
SEND TO A,1678252358.6037061,0,65
SEND TO A,1678252358.7707598,0,66
INTERNAL EVENT,1678252358.937732,0,67
SEND TO A,1678252359.10481,0,68
SEND TO B,1678252359.271961,0,69
INTERNAL EVENT,1678252359.438679,0,70
SEND TO B,1678252359.6056588,0,71
INTERNAL EVENT,1678252359.772629,0,72
SEND TO A,1678252359.939968,0,73
SEND TO B,1678252359.9403148,0,74
SEND TO B,1678252360.106705,0,75
SEND TO B,1678252360.280745,0,76
SEND TO A,1678252360.4408278,0,77
INTERNAL EVENT,1678252360.607705,0,78
SEND TO A,1678252360.774796,0,79
INTERNAL EVENT,1678252360.9417012,0,80
INTERNAL EVENT,1678252361.1086679,0,81
SEND TO A,1678252361.275881,0,82
SEND TO B,1678252361.276138,0,83
SEND TO A,1678252361.4427252,0,84
SEND TO A,1678252361.609859,0,85
SEND TO B,1678252361.610328,0,86
INTERNAL EVENT,1678252361.777946,0,87
SEND TO B,1678252361.943819,0,88
SEND TO A,1678252362.1107478,0,89
SEND TO B,1678252362.277827,0,90
SEND TO A,1678252362.4446971,0,91
SEND TO B,1678252362.445007,0,92
SEND TO B,1678252362.611854,0,93
SEND TO A,1678252362.77891,0,94
SEND TO B,1678252362.950259,0,95
SEND TO B,1678252363.114914,0,96
SEND TO B,1678252363.281997,0,97
SEND TO B,1678252363.4487622,0,98
INTERNAL EVENT,1678252363.615794,0,99
INTERNAL EVENT,1678252363.7827241,0,100
INTERNAL EVENT,1678252363.9497888,0,101
SEND TO A,1678252364.116835,0,102
SEND TO B,1678252364.117126,0,103
SEND TO B,1678252364.284171,0,104
SEND TO A,1678252364.4508648,0,105
SEND TO B,1678252364.4526389,0,106
INTERNAL EVENT,1678252364.61777,0,107
SEND TO A,1678252364.784721,0,108
SEND TO A,1678252364.951809,0,109
SEND TO B,1678252364.9520981,0,110
SEND TO A,1678252365.1188061,0,111
SEND TO A,1678252365.288964,0,112
SEND TO B,1678252365.2891688,0,113
SEND TO B,1678252365.4558988,0,114
SEND TO B,1678252365.62303,0,115
INTERNAL EVENT,1678252365.7896562,0,116
SEND TO A,1678252365.95665,0,117
SEND TO B,1678252365.95683,0,118
SEND TO A,1678252366.123756,0,119
SEND TO B,1678252366.29109,0,120
INTERNAL EVENT,1678252366.457748,0,121
SEND TO B,1678252366.624732,0,122
SEND TO B,1678252366.800672,0,123
INTERNAL EVENT,1678252366.95947,0,124
INTERNAL EVENT,1678252367.125728,0,125
INTERNAL EVENT,1678252367.292775,0,126
SEND TO A,1678252367.460141,0,127
SEND TO B,1678252367.4612732,0,128
INTERNAL EVENT,1678252367.6267579,0,129
SEND TO A,1678252367.793875,0,130
INTERNAL EVENT,1678252367.9606771,0,131
INTERNAL EVENT,1678252368.127778,0,132
SEND TO B,1678252368.294992,0,133
SEND TO B,1678252368.461775,0,134
SEND TO B,1678252368.6289952,0,135
SEND TO B,1678252368.7960231,0,136
SEND TO B,1678252368.962817,0,137
SEND TO A,1678252369.1297762,0,138
SEND TO B,1678252369.1300359,0,139
SEND TO B,1678252369.296874,0,140
INTERNAL EVENT,1678252369.46371,0,141
SEND TO B,1678252369.6307478,0,142
INTERNAL EVENT,1678252369.797716,0,143
SEND TO A,1678252369.964832,0,144
SEND TO B,1678252370.13225,0,145
SEND TO A,1678252370.298708,0,146
SEND TO B,1678252370.298955,0,147
SEND TO A,1678252370.4657972,0,148
SEND TO B,1678252370.6328802,0,149
SEND TO B,1678252370.799777,0,150
INTERNAL EVENT,1678252370.9666371,0,151
SEND TO B,1678252371.143906,0,152
SEND TO A,1678252371.310736,0,153
SEND TO A,1678252371.486599,0,154
SEND TO B,1678252371.4872372,0,155
SEND TO A,1678252371.649164,0,156
SEND TO B,1678252371.649548,0,157
SEND TO B,1678252371.817225,0,158
SEND TO A,1678252371.983598,0,159
SEND TO B,1678252371.984158,0,160
SEND TO A,1678252372.1502569,0,161
SEND TO A,1678252372.316781,0,162
SEND TO A,1678252372.495453,0,163
SEND TO B,1678252372.500159,0,164
SEND TO B,1678252372.651905,0,165
SEND TO A,1678252372.8193002,0,166
SEND TO B,1678252372.819735,0,167
INTERNAL EVENT,1678252372.985739,0,168
SEND TO A,1678252373.1730719,0,169
INTERNAL EVENT,1678252373.322835,0,170
SEND TO A,1678252373.489706,0,171
SEND TO B,1678252373.490009,0,172
SEND TO A,1678252373.656876,0,173
SEND TO B,1678252373.658747,0,174
SEND TO A,1678252373.823918,0,175
SEND TO A,1678252373.993124,0,176
SEND TO A,1678252374.158397,0,177
SEND TO B,1678252374.324887,0,178
SEND TO A,1678252374.491959,0,179
SEND TO B,1678252374.492367,0,180
INTERNAL EVENT,1678252374.670948,0,181
INTERNAL EVENT,1678252374.830946,0,182
SEND TO A,1678252374.9976802,0,183
SEND TO B,1678252374.9978912,0,184
INTERNAL EVENT,1678252375.1646888,0,185
SEND TO B,1678252375.33202,0,186
SEND TO B,1678252375.498971,0,187
SEND TO A,1678252375.665767,0,188
SEND TO B,1678252375.6660638,0,189
SEND TO A,1678252375.8328378,0,190
SEND TO B,1678252375.833181,0,191
INTERNAL EVENT,1678252375.9996421,0,192
SEND TO B,1678252376.1730611,0,193
SEND TO B,1678252376.333819,0,194
INTERNAL EVENT,1678252376.50196,0,195
SEND TO A,1678252376.674911,0,196
SEND TO B,1678252376.675232,0,197
SEND TO B,1678252376.836761,0,198
SEND TO A,1678252377.011104,0,199
SEND TO B,1678252377.011403,0,200
SEND TO A,1678252377.224104,0,201
SEND TO A,1678252377.394515,0,202
SEND TO A,1678252377.561949,0,203
SEND TO B,1678252377.5650299,0,204
SEND TO B,1678252377.719584,0,205
SEND TO B,1678252377.89241,0,206
SEND TO B,1678252378.056185,0,207
SEND TO A,1678252378.222899,0,208
SEND TO A,1678252378.389889,0,209
SEND TO B,1678252378.390795,0,210
SEND TO A,1678252378.557007,0,211
SEND TO B,1678252378.562418,0,212
SEND TO A,1678252378.723883,0,213
SEND TO A,1678252378.8907342,0,214
SEND TO B,1678252379.063683,0,215
INTERNAL EVENT,1678252379.229768,0,216
SEND TO B,1678252379.398085,0,217
SEND TO B,1678252379.564082,0,218
SEND TO A,1678252379.73387,0,219
SEND TO A,1678252379.897772,0,220
SEND TO A,1678252380.069571,0,221
SEND TO B,1678252380.2318761,0,222
SEND TO B,1678252380.398746,0,223
SEND TO B,1678252380.565871,0,224
SEND TO A,1678252380.7327769,0,225
INTERNAL EVENT,1678252380.899727,0,226
SEND TO A,1678252381.066896,0,227
SEND TO B,1678252381.0674272,0,228
SEND TO B,1678252381.234176,0,229
SEND TO A,1678252381.400967,0,230
SEND TO B,1678252381.401418,0,231
INTERNAL EVENT,1678252381.574064,0,232
INTERNAL EVENT,1678252381.734772,0,233
INTERNAL EVENT,1678252381.901697,0,234
SEND TO A,1678252382.068813,0,235
SEND TO B,1678252382.069143,0,236
SEND TO A,1678252382.2359831,0,237
SEND TO A,1678252382.4027882,0,238
INTERNAL EVENT,1678252382.569688,0,239
SEND TO B,1678252382.7368882,0,240
SEND TO A,1678252382.903967,0,241
SEND TO B,1678252382.9043682,0,242
SEND TO A,1678252383.070766,0,243
SEND TO B,1678252383.237855,0,244
SEND TO A,1678252383.404722,0,245
SEND TO A,1678252383.571713,0,246
SEND TO B,1678252383.5719712,0,247
INTERNAL EVENT,1678252383.7386398,0,248
INTERNAL EVENT,1678252383.906018,0,249
SEND TO A,1678252384.0731452,0,250
SEND TO B,1678252384.0736399,0,251
INTERNAL EVENT,1678252384.239698,0,252
SEND TO A,1678252384.406829,0,253
SEND TO B,1678252384.5743182,0,254
SEND TO A,1678252384.7543528,0,255
SEND TO B,1678252384.9131908,0,256
INTERNAL EVENT,1678252385.079651,0,257
SEND TO A,1678252385.24687,0,258
SEND TO B,1678252385.247275,0,259
SEND TO B,1678252385.4137468,0,260
SEND TO A,1678252385.580771,0,261
SEND TO A,1678252385.748599,0,262
SEND TO A,1678252385.914737,0,263
SEND TO B,1678252385.9151528,0,264
INTERNAL EVENT,1678252386.081751,0,265
INTERNAL EVENT,1678252386.248683,0,266
INTERNAL EVENT,1678252386.4158149,0,267
SEND TO B,1678252386.589626,0,268
SEND TO A,1678252386.7507389,0,269
SEND TO A,1678252386.91795,0,270
SEND TO B,1678252386.918367,0,271
SEND TO B,1678252387.084759,0,272
INTERNAL EVENT,1678252387.251719,0,273
SEND TO B,1678252387.418808,0,274
INTERNAL EVENT,1678252387.585718,0,275
SEND TO A,1678252387.75278,0,276
SEND TO A,1678252387.91975,0,277
SEND TO A,1678252388.086766,0,278
SEND TO B,1678252388.253758,0,279
INTERNAL EVENT,1678252388.4206772,0,280
SEND TO B,1678252388.587978,0,281
INTERNAL EVENT,1678252388.75473,0,282
INTERNAL EVENT,1678252388.921816,0,283
SEND TO B,1678252389.088814,0,284
INTERNAL EVENT,1678252389.2559202,0,285
INTERNAL EVENT,1678252389.422705,0,286
SEND TO A,1678252389.5898108,0,287
SEND TO A,1678252389.7570949,0,288
SEND TO A,1678252389.924043,0,289
SEND TO B,1678252389.924819,0,290
SEND TO B,1678252390.09101,0,291
SEND TO B,1678252390.258113,0,292
INTERNAL EVENT,1678252390.434325,0,293
SEND TO B,1678252390.592261,0,294
INTERNAL EVENT,1678252390.775767,0,295
SEND TO A,1678252390.9318001,0,296
SEND TO B,1678252390.932132,0,297
INTERNAL EVENT,1678252391.0991921,0,298
INTERNAL EVENT,1678252391.265907,0,299
INTERNAL EVENT,1678252391.432779,0,300
SEND TO B,1678252391.5999029,0,301
SEND TO A,1678252391.767036,0,302
SEND TO B,1678252391.934001,0,303
SEND TO A,1678252392.100839,0,304
SEND TO B,1678252392.101175,0,305
INTERNAL EVENT,1678252392.268498,0,306
INTERNAL EVENT,1678252392.4358048,0,307
INTERNAL EVENT,1678252392.6018188,0,308
SEND TO A,1678252392.768786,0,309
INTERNAL EVENT,1678252392.935874,0,310
SEND TO A,1678252393.107743,0,311
SEND TO A,1678252393.2699032,0,312
SEND TO B,1678252393.270182,0,313
INTERNAL EVENT,1678252393.436712,0,314
SEND TO A,1678252393.6037319,0,315
SEND TO B,1678252393.604289,0,316
SEND TO B,1678252393.770808,0,317
SEND TO A,1678252393.9376829,0,318
SEND TO B,1678252393.9379368,0,319
SEND TO A,1678252394.104674,0,320
SEND TO B,1678252394.10489,0,321
SEND TO B,1678252394.271866,0,322
SEND TO B,1678252394.438777,0,323
SEND TO B,1678252394.6060789,0,324
INTERNAL EVENT,1678252394.772636,0,325
SEND TO A,1678252394.9398222,0,326
SEND TO A,1678252395.110076,0,327
SEND TO B,1678252395.11104,0,328
SEND TO A,1678252395.2768672,0,329
SEND TO A,1678252395.443725,0,330
SEND TO B,1678252395.444006,0,331
SEND TO A,1678252395.610732,0,332
SEND TO B,1678252395.610975,0,333
SEND TO B,1678252395.77774,0,334
SEND TO B,1678252395.944746,0,335
SEND TO A,1678252396.111719,0,336
SEND TO A,1678252396.2787461,0,337
SEND TO A,1678252396.4456599,0,338
SEND TO B,1678252396.445847,0,339
SEND TO B,1678252396.612628,0,340
SEND TO B,1678252396.779688,0,341
INTERNAL EVENT,1678252396.946625,0,342
SEND TO A,1678252397.113654,0,343
