received,global time,len of queue,logical clock time
SEND TO A,1678252544.992098,0,0
SEND TO C,1678252544.992197,0,1
INTERNAL EVENT,1678252545.192626,0,2
POP FROM QUEUE,1678252545.393632,0,4
SEND TO A,1678252545.594669,0,4
SEND TO C,1678252545.59486,0,5
SEND TO A,1678252545.795666,0,6
SEND TO A,1678252545.996713,0,7
POP FROM QUEUE,1678252546.197703,0,9
POP FROM QUEUE,1678252546.3986309,0,11
POP FROM QUEUE,1678252546.599654,0,13
POP FROM QUEUE,1678252546.8006752,0,14
POP FROM QUEUE,1678252547.001688,1,15
POP FROM QUEUE,1678252547.2027788,0,17
SEND TO A,1678252547.403723,0,17
SEND TO C,1678252547.404385,0,18
SEND TO A,1678252547.60467,0,19
SEND TO C,1678252547.8055968,0,20
SEND TO A,1678252548.0066261,0,21
SEND TO C,1678252548.00676,0,22
INTERNAL EVENT,1678252548.207644,0,23
SEND TO C,1678252548.408669,0,24
SEND TO A,1678252548.609623,0,25
POP FROM QUEUE,1678252548.810673,0,28
POP FROM QUEUE,1678252549.0115871,1,29
POP FROM QUEUE,1678252549.21263,1,31
POP FROM QUEUE,1678252549.41363,0,33
POP FROM QUEUE,1678252549.6146612,0,35
POP FROM QUEUE,1678252549.81568,0,36
POP FROM QUEUE,1678252550.016644,1,38
POP FROM QUEUE,1678252550.217669,1,40
POP FROM QUEUE,1678252550.418708,1,41
POP FROM QUEUE,1678252550.619667,0,42
POP FROM QUEUE,1678252550.8206341,0,43
POP FROM QUEUE,1678252551.021589,0,46
POP FROM QUEUE,1678252551.222601,0,48
POP FROM QUEUE,1678252551.424181,0,49
SEND TO A,1678252551.632601,0,49
POP FROM QUEUE,1678252551.8259048,0,51
POP FROM QUEUE,1678252552.027072,1,53
POP FROM QUEUE,1678252552.227658,0,55
SEND TO A,1678252552.428725,0,55
SEND TO C,1678252552.428991,0,56
INTERNAL EVENT,1678252552.630452,0,57
SEND TO C,1678252552.830826,0,58
POP FROM QUEUE,1678252553.032494,0,62
POP FROM QUEUE,1678252553.2329118,0,64
POP FROM QUEUE,1678252553.4350421,0,65
SEND TO C,1678252553.634953,0,65
SEND TO C,1678252553.835961,0,66
POP FROM QUEUE,1678252554.0367842,0,68
SEND TO A,1678252554.237833,0,68
SEND TO C,1678252554.238167,0,69
SEND TO C,1678252554.438674,0,70
SEND TO C,1678252554.639733,0,71
POP FROM QUEUE,1678252554.840734,0,73
POP FROM QUEUE,1678252555.0416598,0,74
POP FROM QUEUE,1678252555.242712,0,77
INTERNAL EVENT,1678252555.443671,0,77
POP FROM QUEUE,1678252555.644732,0,80
POP FROM QUEUE,1678252555.845711,1,81
POP FROM QUEUE,1678252556.047196,0,82
INTERNAL EVENT,1678252556.247705,0,82
SEND TO A,1678252556.44865,0,83
SEND TO C,1678252556.448823,0,84
SEND TO C,1678252556.64962,0,85
SEND TO A,1678252556.8505878,0,86
SEND TO C,1678252556.8506932,0,87
SEND TO A,1678252557.051955,0,88
SEND TO C,1678252557.0526981,0,89
SEND TO C,1678252557.253199,0,90
SEND TO A,1678252557.453759,0,91
SEND TO C,1678252557.454106,0,92
SEND TO C,1678252557.654773,0,93
SEND TO C,1678252557.855647,0,94
POP FROM QUEUE,1678252558.056952,0,96
SEND TO A,1678252558.2578309,0,96
POP FROM QUEUE,1678252558.4592059,0,100
SEND TO C,1678252558.659866,0,100
POP FROM QUEUE,1678252558.860619,0,102
SEND TO C,1678252559.061598,0,102
SEND TO A,1678252559.2626371,0,103
SEND TO C,1678252559.262791,0,104
SEND TO A,1678252559.471665,0,105
SEND TO C,1678252559.4774568,0,106
SEND TO A,1678252559.665323,0,107
INTERNAL EVENT,1678252559.866188,0,108
POP FROM QUEUE,1678252560.067414,0,110
INTERNAL EVENT,1678252560.268383,0,110
POP FROM QUEUE,1678252560.470978,0,112
SEND TO A,1678252560.678257,0,112
POP FROM QUEUE,1678252560.8788,0,114
SEND TO A,1678252561.079773,0,114
SEND TO C,1678252561.080199,0,115
SEND TO C,1678252561.280761,0,116
SEND TO A,1678252561.4819598,0,117
SEND TO C,1678252561.482458,0,118
INTERNAL EVENT,1678252561.682637,0,119
INTERNAL EVENT,1678252561.8836029,0,120
POP FROM QUEUE,1678252562.08465,1,122
POP FROM QUEUE,1678252562.285609,0,123
POP FROM QUEUE,1678252562.4867241,0,124
SEND TO A,1678252562.687763,0,124
SEND TO C,1678252562.6880052,0,125
SEND TO A,1678252562.88906,0,126
POP FROM QUEUE,1678252563.0901859,1,128
POP FROM QUEUE,1678252563.292663,1,129
POP FROM QUEUE,1678252563.491982,1,130
POP FROM QUEUE,1678252563.692668,1,132
POP FROM QUEUE,1678252563.893665,1,133
POP FROM QUEUE,1678252564.094686,2,135
POP FROM QUEUE,1678252564.295758,2,137
POP FROM QUEUE,1678252564.496822,1,138
POP FROM QUEUE,1678252564.6976728,0,140
SEND TO A,1678252564.898763,1,140
SEND TO C,1678252564.898953,1,141
POP FROM QUEUE,1678252565.099607,0,144
POP FROM QUEUE,1678252565.300649,0,146
POP FROM QUEUE,1678252565.501617,1,147
POP FROM QUEUE,1678252565.702768,0,148
SEND TO A,1678252565.903677,0,148
SEND TO A,1678252566.104691,0,149
SEND TO C,1678252566.104873,0,150
SEND TO A,1678252566.305731,0,151
SEND TO C,1678252566.305995,0,152
SEND TO A,1678252566.506707,0,153
SEND TO A,1678252566.707993,0,154
SEND TO C,1678252566.708629,0,155
SEND TO A,1678252566.90877,0,156
SEND TO C,1678252566.9089699,0,157
INTERNAL EVENT,1678252567.1096,0,158
POP FROM QUEUE,1678252567.3106298,0,160
SEND TO A,1678252567.5116212,0,160
SEND TO C,1678252567.511764,0,161
SEND TO C,1678252567.712645,0,162
POP FROM QUEUE,1678252567.913602,0,164
INTERNAL EVENT,1678252568.114629,0,164
POP FROM QUEUE,1678252568.594931,1,166
POP FROM QUEUE,1678252568.65568,1,167
POP FROM QUEUE,1678252568.853363,0,168
POP FROM QUEUE,1678252569.054739,1,169
POP FROM QUEUE,1678252569.355835,1,170
POP FROM QUEUE,1678252569.480909,1,171
POP FROM QUEUE,1678252569.792213,2,172
POP FROM QUEUE,1678252569.985308,1,173
POP FROM QUEUE,1678252570.184155,2,174
POP FROM QUEUE,1678252570.3849049,2,175
POP FROM QUEUE,1678252570.585802,2,176
POP FROM QUEUE,1678252570.846209,1,178
POP FROM QUEUE,1678252570.996863,1,179
POP FROM QUEUE,1678252571.24892,1,181
POP FROM QUEUE,1678252571.3987148,1,182
POP FROM QUEUE,1678252571.601286,0,183
SEND TO C,1678252571.801366,0,183
POP FROM QUEUE,1678252572.001801,0,188
SEND TO A,1678252572.203111,0,188
SEND TO A,1678252572.410186,0,189
SEND TO C,1678252572.410642,0,190
SEND TO A,1678252572.604767,0,191
POP FROM QUEUE,1678252572.805879,0,193
POP FROM QUEUE,1678252573.0068018,1,194
POP FROM QUEUE,1678252573.2188768,1,196
POP FROM QUEUE,1678252573.41776,1,197
POP FROM QUEUE,1678252573.618638,1,199
POP FROM QUEUE,1678252573.819676,1,201
POP FROM QUEUE,1678252574.020601,0,202
POP FROM QUEUE,1678252574.2216551,0,206
INTERNAL EVENT,1678252574.42272,0,206
POP FROM QUEUE,1678252574.623643,0,208
POP FROM QUEUE,1678252574.8247318,0,211
INTERNAL EVENT,1678252575.025648,0,211
POP FROM QUEUE,1678252575.226882,0,214
POP FROM QUEUE,1678252575.427861,0,216
POP FROM QUEUE,1678252575.629363,0,218
SEND TO C,1678252575.829897,0,218
SEND TO C,1678252576.045022,0,219
SEND TO A,1678252576.2319229,0,220
SEND TO C,1678252576.232304,0,221
SEND TO A,1678252576.433077,0,222
SEND TO C,1678252576.433634,0,223
SEND TO A,1678252576.633726,0,224
SEND TO A,1678252576.834763,0,225
POP FROM QUEUE,1678252577.035678,0,228
SEND TO C,1678252577.237897,0,228
SEND TO C,1678252577.440004,0,229
SEND TO A,1678252577.640943,0,230
POP FROM QUEUE,1678252577.841744,0,234
SEND TO A,1678252578.042828,0,234
POP FROM QUEUE,1678252578.243737,0,237
SEND TO A,1678252578.444819,0,237
SEND TO C,1678252578.445167,0,238
INTERNAL EVENT,1678252578.645725,0,239
POP FROM QUEUE,1678252578.8466291,1,241
POP FROM QUEUE,1678252579.047727,0,242
POP FROM QUEUE,1678252579.248648,0,244
POP FROM QUEUE,1678252579.4495978,0,245
POP FROM QUEUE,1678252579.650767,0,247
SEND TO A,1678252579.851694,0,247
SEND TO A,1678252580.052654,0,248
SEND TO C,1678252580.052853,0,249
SEND TO A,1678252580.255007,0,250
SEND TO C,1678252580.255265,0,251
SEND TO A,1678252580.4546409,0,252
SEND TO C,1678252580.4547882,0,253
SEND TO A,1678252580.655627,0,254
SEND TO C,1678252580.655754,0,255
INTERNAL EVENT,1678252580.8565671,0,256
POP FROM QUEUE,1678252581.057566,0,258
SEND TO A,1678252581.2585971,0,258
SEND TO C,1678252581.258715,0,259
SEND TO A,1678252581.459625,0,260
POP FROM QUEUE,1678252581.660575,0,262
POP FROM QUEUE,1678252581.861548,0,264
POP FROM QUEUE,1678252582.06261,0,267
POP FROM QUEUE,1678252582.2637281,0,268
SEND TO A,1678252582.4646761,0,268
POP FROM QUEUE,1678252582.665639,0,270
SEND TO A,1678252582.866821,0,270
SEND TO C,1678252582.867237,0,271
SEND TO A,1678252583.068099,0,272
POP FROM QUEUE,1678252583.301472,0,275
INTERNAL EVENT,1678252583.4697752,0,275
POP FROM QUEUE,1678252583.670955,0,278
SEND TO C,1678252583.872112,0,278
INTERNAL EVENT,1678252584.072694,0,279
SEND TO A,1678252584.273773,0,280
SEND TO C,1678252584.2740622,0,281
INTERNAL EVENT,1678252584.474738,0,282
POP FROM QUEUE,1678252584.681957,0,285
POP FROM QUEUE,1678252584.901937,0,286
SEND TO A,1678252585.097003,0,286
SEND TO C,1678252585.0993469,0,287
SEND TO C,1678252585.2959528,0,288
INTERNAL EVENT,1678252585.496702,0,289
POP FROM QUEUE,1678252585.69772,0,291
POP FROM QUEUE,1678252585.903903,1,292
POP FROM QUEUE,1678252586.102879,1,294
POP FROM QUEUE,1678252586.303688,1,296
POP FROM QUEUE,1678252586.505034,1,298
POP FROM QUEUE,1678252586.7143521,1,299
POP FROM QUEUE,1678252586.922776,2,300
POP FROM QUEUE,1678252587.164584,1,301
POP FROM QUEUE,1678252587.347808,1,302
POP FROM QUEUE,1678252587.548831,1,305
POP FROM QUEUE,1678252587.749917,1,306
POP FROM QUEUE,1678252587.95069,1,308
POP FROM QUEUE,1678252588.1518521,0,310
POP FROM QUEUE,1678252588.3527172,0,313
INTERNAL EVENT,1678252588.553717,0,313
POP FROM QUEUE,1678252588.7546601,0,315
SEND TO A,1678252588.955675,0,315
POP FROM QUEUE,1678252589.156599,0,318
POP FROM QUEUE,1678252589.357645,0,319
SEND TO A,1678252589.559058,0,319
POP FROM QUEUE,1678252589.759687,1,321
POP FROM QUEUE,1678252589.960736,0,323
POP FROM QUEUE,1678252590.161726,0,325
POP FROM QUEUE,1678252590.362732,0,327
SEND TO A,1678252590.56362,0,327
POP FROM QUEUE,1678252590.764579,0,330
SEND TO A,1678252590.965921,0,330
SEND TO C,1678252590.966263,0,331
INTERNAL EVENT,1678252591.166668,0,332
POP FROM QUEUE,1678252591.367821,0,334
POP FROM QUEUE,1678252591.568624,0,336
INTERNAL EVENT,1678252591.7696571,0,336
POP FROM QUEUE,1678252591.9706051,0,338
SEND TO C,1678252592.171639,0,338
INTERNAL EVENT,1678252592.372671,0,339
POP FROM QUEUE,1678252592.573628,0,342
SEND TO C,1678252592.774604,0,342
